City,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10
Boston,4,4,4,4,4,7,1,1,1,1
Boston,7,7,6,7,7,6,5,7,4,6
Denver,7,7,7,7,7,1,1,4,1,1
Los Angeles,7,6,7,7,7,4,5,6,4,5
Denver,6,5,6,6,6,5,3,4,3,4
Boston,4,6,7,7,6,6,5,6,2,6
Boston,6,6,6,6,7,5,2,5,3,5
Boston,7,7,7,7,7,1,1,7,1,1
Los Angeles,5,5,5,4,6,4,4,2,4,4
Los Angeles,7,7,7,7,7,7,7,7,7,7
Boston,7,7,6,7,7,6,5,7,5,5
Denver,7,7,5,7,6,1,1,2,4,5
Boston,7,6,4,7,7,3,2,4,2,1
Denver,7,7,7,7,7,3,3,5,4,3
Denver,5,5,5,6,6,2,2,4,3,2
Los Angeles,7,7,7,7,7,3,3,4,3,6
Los Angeles,7,7,7,7,7,7,7,7,7,7
Boston,1,1,6,7,7,4,4,4,4,4
Los Angeles,7,4,4,7,7,4,4,4,4,4
Denver,7,7,5,7,7,4,4,5,4,5
Boston,6,6,6,7,7,2,4,4,4,4
Boston,5,4,4,4,5,2,3,3,3,5
Los Angeles,4,5,4,7,7,4,3,4,4,3
Boston,2,2,3,3,4,4,3,2,2,3
Los Angeles,7,5,5,5,7,3,4,6,1,2
Boston,7,7,7,7,7,3,4,5,4,6
Boston,7,7,7,6,7,6,6,7,5,6
Denver,5,4,4,6,7,3,2,4,3,4
Denver,5,4,6,5,6,5,6,4,4,4
Boston,7,7,5,7,7,2,1,5,2,1
Denver,7,6,7,7,7,5,4,5,4,6
Denver,6,6,5,5,6,6,4,6,4,6
Boston,7,7,7,7,7,7,7,6,7,6
Denver,6,4,5,6,6,1,1,2,2,3
Los Angeles,1,1,1,1,4,1,1,1,1,1
Denver,7,7,6,7,7,5,4,3,4,5
Boston,7,7,7,6,7,6,7,6,4,7
Boston,7,5,4,7,7,4,4,2,4,4
Denver,7,6,6,7,7,4,4,6,4,4
Los Angeles,7,6,7,7,7,4,4,4,6,6
Denver,1,1,7,1,1,1,1,1,1,1
Los Angeles,7,7,7,7,7,2,1,1,3,3
Denver,7,6,7,7,7,6,4,5,4,5
Boston,7,7,7,7,7,6,7,7,6,7
Los Angeles,4,3,5,4,6,5,4,2,3,5
Boston,3,5,5,7,7,2,1,1,1,5
Denver,7,7,7,7,7,4,4,7,3,4
