Sample_No,Date_Sampled,Sample_Point,Zone,Result,Units
5018667,2017-01-04,090A04,Laanecoorie,0.2,NTU
5286970,2017-07-18,090C03,Tarnagulla,0.1,NTU
5252276,2017-07-18,090B05,Dunolly,0.2,NTU
5252275,2017-07-18,090A03,Laanecoorie,0.1,NTU
5019631,2017-01-24,090D03,Bealiba,0.1,NTU
5039144,2017-01-31,090D07,Bealiba,0.1,NTU
5605791,2018-06-26,090A01,Laanecoorie,0.2,NTU
5605793,2018-06-26,090C04,Tarnagulla,0.1,NTU
5582196,2018-06-13,090C03,Tarnagulla,0.1,NTU
5582197,2018-06-13,090D07,Bealiba,0.3,NTU
5198968,2017-06-20,090A04,Laanecoorie,0.5,NTU
5264389,2017-06-27,090D02,Bealiba,0.05,NTU
5039119,2017-01-31,090A03,Laanecoorie,0.1,NTU
5280813,2017-08-01,090B09,Dunolly,0.05,NTU
5304412,2017-08-01,090C02,Tarnagulla,0.1,NTU
5018670,2017-01-04,090D07,Bealiba,0.2,NTU
5766194,2018-09-11,090D08,Bealiba,0.2,NTU
5457641,2018-01-16,090D07,Bealiba,0.2,NTU
5457638,2018-01-16,090A04,Laanecoorie,0.2,NTU
5457639,2018-01-16,090B01,Dunolly,0.1,NTU
5457640,2018-01-16,090C04,Tarnagulla,0.2,NTU
5019029,2017-01-10,090C01,Tarnagulla,0.2,NTU
5040034,2017-02-14,090A01,Laanecoorie,0.2,NTU
5173163,2017-05-16,090A04,Laanecoorie,0.2,NTU
5198457,2017-06-07,090B02,Dunolly,0.2,NTU
5385243,2017-11-01,090A03,Laanecoorie,0.2,NTU
5019617,2017-01-24,090B08,Dunolly,0.2,NTU
5092952,2017-03-07,090A03,Laanecoorie,0.1,NTU
5092955,2017-03-07,090D07,Bealiba,0.2,NTU
5092953,2017-03-07,090B04,Dunolly,0.2,NTU
5092954,2017-03-07,090C04,Tarnagulla,0.2,NTU
5018668,2017-01-04,090B04,Dunolly,0.2,NTU
5132080,2017-04-11,090D02,Bealiba,0.1,NTU
5132075,2017-04-11,090B07,Dunolly,0.2,NTU
5132062,2017-04-11,090A03,Laanecoorie,0.1,NTU
5093230,2017-03-15,090D01,Bealiba,0.1,NTU
5019630,2017-01-24,090C02,Tarnagulla,0.3,NTU
5019616,2017-01-24,090A04,Laanecoorie,0.2,NTU
5132721,2017-04-26,090D01,Bealiba,0.1,NTU
5281544,2017-08-22,090D07,Bealiba,0.2,NTU
5131069,2017-04-04,090D01,Bealiba,0.1,NTU
5131065,2017-04-04,090B01,Dunolly,0.2,NTU
5131033,2017-04-04,090A01,Laanecoorie,0.5,NTU
5131067,2017-04-04,090C02,Tarnagulla,0.2,NTU
5251734,2017-07-04,090A02,Laanecoorie,0.1,NTU
5251736,2017-07-04,090D01,Bealiba,0.05,NTU
5270440,2017-07-04,090C01,Tarnagulla,0.2,NTU
5040293,2017-02-21,090B02,Dunolly,0.2,NTU
5093462,2017-03-21,090C03,Tarnagulla,0.2,NTU
5093461,2017-03-21,090B03,Dunolly,0.2,NTU
5093463,2017-03-21,090D03,Bealiba,0.2,NTU
5093460,2017-03-21,090A02,Laanecoorie,0.1,NTU
5174352,2017-05-30,090B09,Dunolly,0.2,NTU
5173379,2017-05-23,090A03,Laanecoorie,0.2,NTU
5253683,2017-07-12,090D03,Bealiba,0.05,NTU
5093702,2017-03-28,090B08,Dunolly,0.2,NTU
5252475,2017-07-25,090C04,Tarnagulla,0.1,NTU
5295588,2017-07-25,090B07,Dunolly,0.2,NTU
5174353,2017-05-30,090C02,Tarnagulla,0.2,NTU
5295593,2017-07-25,090D02,Bealiba,0.1,NTU
5295587,2017-07-25,090A02,Laanecoorie,0.2,NTU
5093701,2017-03-28,090A04,Laanecoorie,0.2,NTU
5092693,2017-02-28,090B06,Dunolly,0.2,NTU
5251735,2017-07-04,090B04,Dunolly,0.2,NTU
5173380,2017-05-23,090B05,Dunolly,0.2,NTU
5174351,2017-05-30,090A02,Laanecoorie,0.2,NTU
5132388,2017-04-19,090A02,Laanecoorie,0.2,NTU
5132391,2017-04-19,090D07,Bealiba,0.2,NTU
5281962,2017-09-05,090D03,Bealiba,0.05,NTU
5132390,2017-04-19,090C04,Tarnagulla,0.1,NTU
5132719,2017-04-26,090C03,Tarnagulla,0.2,NTU
5132717,2017-04-26,090A04,Laanecoorie,0.1,NTU
5282851,2017-09-26,090A03,Laanecoorie,0.2,NTU
5282853,2017-09-26,090C03,Tarnagulla,0.2,NTU
5282854,2017-09-26,090D07,Bealiba,0.2,NTU
5174345,2017-05-23,090C01,Tarnagulla,0.2,NTU
5281714,2017-08-29,090D02,Bealiba,0.1,NTU
5092692,2017-02-28,090A04,Laanecoorie,0.1,NTU
5281712,2017-08-29,090B08,Dunolly,0.2,NTU
5132078,2017-04-11,090C01,Tarnagulla,0.2,NTU
5690572,2018-07-10,090B06,Dunolly,0.2,NTU
5093704,2017-03-28,090D02,Bealiba,0.1,NTU
5093703,2017-03-28,090C01,Tarnagulla,0.2,NTU
5040280,2017-02-21,090A03,Laanecoorie,0.3,NTU
5040294,2017-02-21,090C01,Tarnagulla,0.2,NTU
5092695,2017-02-28,090D03,Bealiba,0.1,NTU
5040295,2017-02-21,090D07,Bealiba,0.3,NTU
5092694,2017-02-28,090C03,Tarnagulla,0.2,NTU
5132718,2017-04-26,090B02,Dunolly,0.2,NTU
5172050,2017-05-02,090B06,Dunolly,0.1,NTU
5281045,2017-08-08,090A01,Laanecoorie,0.2,NTU
5282587,2017-09-19,090B05,Dunolly,0.1,NTU
5282589,2017-09-19,090D01,Bealiba,0.1,NTU
5282586,2017-09-19,090A04,Laanecoorie,0.2,NTU
5198718,2017-06-14,090D07,Bealiba,0.2,NTU
5343942,2017-10-10,090D03,Bealiba,0.05,NTU
5281960,2017-09-05,090B04,Dunolly,0.2,NTU
5281961,2017-09-05,090C01,Tarnagulla,0.2,NTU
5344236,2017-10-17,090B02,Dunolly,0.1,NTU
5344514,2017-10-24,090B06,Dunolly,0.1,NTU
5282307,2017-09-12,090D08,Bealiba,0.05,NTU
5386986,2017-12-12,090B09,Dunolly,0.2,NTU
5386987,2017-12-12,090C03,Tarnagulla,0.2,NTU
5386988,2017-12-12,090D07,Bealiba,0.2,NTU
5387568,2017-12-26,090A01,Laanecoorie,0.3,NTU
5093215,2017-03-15,090A01,Laanecoorie,0.2,NTU
5093216,2017-03-15,090B05,Dunolly,0.2,NTU
5093229,2017-03-15,090C02,Tarnagulla,0.2,NTU
5174346,2017-05-23,090D02,Bealiba,0.1,NTU
5174354,2017-05-30,090D07,Bealiba,0.1,NTU
5198716,2017-06-14,090B03,Dunolly,0.2,NTU
5343940,2017-10-10,090B09,Dunolly,0.1,NTU
5282852,2017-09-26,090B07,Dunolly,0.1,NTU
5264388,2017-06-27,090B08,Dunolly,0.1,NTU
5344235,2017-10-17,090A01,Laanecoorie,0.7,NTU
5344238,2017-10-17,090D08,Bealiba,0.05,NTU
5344237,2017-10-17,090C04,Tarnagulla,0.2,NTU
5387301,2017-12-19,090B02,Dunolly,0.2,NTU
5387300,2017-12-19,090A05,Laanecoorie,0.3,NTU
5457128,2018-01-03,090D08,Bealiba,0.05,NTU
5386162,2017-11-21,090D08,Bealiba,0.05,NTU
5386159,2017-11-21,090A01,Laanecoorie,0.4,NTU
5198717,2017-06-14,090C03,Tarnagulla,0.3,NTU
5132389,2017-04-19,090B09,Dunolly,0.1,NTU
5343569,2017-10-03,090A02,Laanecoorie,0.2,NTU
5386381,2017-11-27,090A04,Laanecoorie,0.2,NTU
5457390,2018-01-09,090B04,Dunolly,0.1,NTU
5457392,2018-01-09,090D01,Bealiba,0.05,NTU
5457389,2018-01-09,090A03,Laanecoorie,0.2,NTU
5343941,2017-10-10,090C02,Tarnagulla,0.2,NTU
5344524,2017-10-24,090D01,Bealiba,0.05,NTU
5281959,2017-09-05,090A05,Laanecoorie,0.1,NTU
5386976,2017-12-12,090A02,Laanecoorie,0.2,NTU
5387302,2017-12-19,090C04,Tarnagulla,0.2,NTU
5457126,2018-01-03,090B08,Dunolly,0.1,NTU
5457125,2018-01-03,090A04,Laanecoorie,0.2,NTU
5457127,2018-01-03,090C03,Tarnagulla,0.2,NTU
5386686,2017-12-05,090A03,Laanecoorie,0.2,NTU
5386688,2017-12-05,090C02,Tarnagulla,0.3,NTU
5387303,2017-12-19,090D02,Bealiba,0.1,NTU
5386689,2017-12-05,090D01,Bealiba,0.05,NTU
5457895,2018-01-23,090D02,Bealiba,0.1,NTU
5457892,2018-01-23,090A02,Laanecoorie,0.1,NTU
