Sample_No,Date_Sampled,Sample_Point,System,Zone,Measure,Result,Units
5890125,2018-12-26,090D03,Laanecoorie,Bealiba,Turbidity,0.1,NTU
5890123,2018-12-26,090B09,Laanecoorie,Dunolly,Turbidity,0.05,NTU
5890227,2018-12-30,095D08,Bendigo,Epsom - Huntly,Turbidity,0.2,NTU
5890156,2018-12-23,095M05,Bendigo,Bendigo (Sebastian),Turbidity,0.2,NTU
5890156,2018-12-23,095M05,Bendigo,Bendigo (Sebastian),E Coli,0,Orgs/100mL
5890124,2018-12-26,090C03,Laanecoorie,Tarnagulla,Turbidity,0.1,NTU
5765947,2018-09-05,095M04,Bendigo,Bendigo (Sebastian),Turbidity,0.2,NTU
5765948,2018-09-05,095N04,Bendigo,Bendigo (Raywood),Turbidity,0.2,NTU
5765903,2018-09-04,090B08,Laanecoorie,Dunolly,Turbidity,0.1,NTU
5765928,2018-09-05,095A17,Bendigo,Bendigo (Northern),Turbidity,0.2,NTU
5765957,2018-09-05,095K07,Bendigo,Junortoun,Turbidity,0.2,NTU
5765904,2018-09-04,090C04,Laanecoorie,Tarnagulla,Turbidity,0.1,NTU
5766193,2018-09-11,090C01,Laanecoorie,Tarnagulla,E Coli,0,Orgs/100mL
5765943,2018-09-05,095F02,Bendigo,Big Hill,THMs,0.011,mg/L
5735030,2018-08-15,095J02,Bendigo,Bendigo (Spring Gully),Turbidity,0.1,NTU
5735013,2018-08-14,095B04,Bendigo,Maiden Gully - Marong,THMs,0.015,mg/L
5735027,2018-08-15,095H20,Bendigo,Bendigo (Southern),Turbidity,0.1,NTU
5734990,2018-08-14,090B03,Laanecoorie,Dunolly,Turbidity,0.1,NTU
5735051,2018-08-15,095C06,Bendigo,Strathfieldsaye,Turbidity,0.2,NTU
5765929,2018-09-05,095F02,Bendigo,Big Hill,Turbidity,0.2,NTU
5765966,2018-09-05,095L02,Bendigo,Bendigo (Axedale),THMs,0.054,mg/L
5582231,2018-06-14,095M03,Bendigo,Bendigo (Sebastian),E Coli,0,Orgs/100mL
5582220,2018-06-14,095H22,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
5582202,2018-06-13,090A02,Laanecoorie,Laanecoorie,THMs,0.043,mg/L
5582203,2018-06-13,090B03,Laanecoorie,Dunolly,THMs,0.054,mg/L
5582221,2018-06-14,095J03,Bendigo,Bendigo (Spring Gully),E Coli,0,Orgs/100mL
5582204,2018-06-13,090D07,Laanecoorie,Bealiba,THMs,0.15,mg/L
5582194,2018-06-13,090A02,Laanecoorie,Laanecoorie,Turbidity,0.2,NTU
5582195,2018-06-13,090B03,Laanecoorie,Dunolly,Turbidity,0.2,NTU
5589127,2018-06-17,095D03,Bendigo,Epsom - Huntly,E Coli,0,Orgs/100mL
5581983,2018-06-06,095H02,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
5581985,2018-06-06,095J11,Bendigo,Bendigo (Spring Gully),E Coli,0,Orgs/100mL
5581956,2018-06-05,090C02,Laanecoorie,Tarnagulla,E Coli,0,Orgs/100mL
5581998,2018-06-06,095F04,Bendigo,Big Hill,THMs,0.006,mg/L
5581993,2018-06-06,095K03,Bendigo,Junortoun,E Coli,0,Orgs/100mL
5581969,2018-06-06,095A18,Bendigo,Bendigo (Northern),E Coli,0,Orgs/100mL
5766191,2018-09-11,090A03,Laanecoorie,Laanecoorie,E Coli,0,Orgs/100mL
5581868,2018-06-03,095D11,Bendigo,Epsom - Huntly,Turbidity,0.2,NTU
5581986,2018-06-06,095M02,Bendigo,Bendigo (Sebastian),Turbidity,0.1,NTU
5735053,2018-08-15,095K08,Bendigo,Junortoun,Turbidity,0.2,NTU
5735107,2018-08-19,095D11,Bendigo,Epsom - Huntly,E Coli,0,Orgs/100mL
5582198,2018-06-13,095B04,Bendigo,Maiden Gully - Marong,Turbidity,0.2,NTU
5847636,2018-11-13,095B02,Bendigo,Maiden Gully - Marong,THMs,0.008,mg/L
5847698,2018-11-14,095H16,Bendigo,Bendigo (Southern),Turbidity,0.1,NTU
5798895,2018-10-23,090D01,Laanecoorie,Bealiba,Turbidity,0.1,NTU
5798937,2018-10-24,095L04,Bendigo,Bendigo (Axedale),E Coli,0,Orgs/100mL
5798926,2018-10-24,095H22,Bendigo,Bendigo (Southern),Turbidity,0.1,NTU
5798908,2018-10-24,095A24,Bendigo,Bendigo (Northern),Turbidity,0.1,NTU
5798927,2018-10-24,095J02,Bendigo,Bendigo (Spring Gully),E Coli,0,Orgs/100mL
5798940,2018-10-24,095C04,Bendigo,Strathfieldsaye,E Coli,0,Orgs/100mL
5798922,2018-10-24,095F01,Bendigo,Big Hill,THMs,0.007,mg/L
5798589,2018-10-17,095A19,Bendigo,Bendigo (Northern),Turbidity,0.3,NTU
5798909,2018-10-24,095F01,Bendigo,Big Hill,Turbidity,0.2,NTU
5798602,2018-10-17,095N05,Bendigo,Bendigo (Raywood),Turbidity,0.2,NTU
5798554,2018-10-16,090C03,Laanecoorie,Tarnagulla,Turbidity,0.2,NTU
5798591,2018-10-17,095F03,Bendigo,Big Hill,Turbidity,0.2,NTU
5798562,2018-10-16,090A02,Laanecoorie,Laanecoorie,THMs,0.071,mg/L
5798623,2018-10-17,095L03,Bendigo,Bendigo (Axedale),Turbidity,0.2,NTU
5798895,2018-10-23,090D01,Laanecoorie,Bealiba,E Coli,0,Orgs/100mL
5798615,2018-10-17,095N05,Bendigo,Bendigo (Raywood),THMs,0.09,mg/L
5798987,2018-10-28,095D09,Bendigo,Epsom - Huntly,E Coli,0,Orgs/100mL
5579822,2018-04-02,095D03,Bendigo,Epsom - Huntly,E Coli,0,Orgs/100mL
5491378,2018-03-27,095B08,Bendigo,Maiden Gully - Marong,THMs,0.011,mg/L
5579981,2018-04-04,095A20,Bendigo,Bendigo (Northern),E Coli,0,Orgs/100mL
5457149,2018-01-04,095A10,Bendigo,Bendigo (Northern),E Coli,0,Orgs/100mL
5457173,2018-01-04,095C09,Bendigo,Strathfieldsaye,E Coli,0,Orgs/100mL
5387428,2017-12-26,095D09,Bendigo,Epsom - Huntly,Turbidity,0.2,NTU
5387582,2017-12-26,095B06,Bendigo,Maiden Gully - Marong,Turbidity,0.2,NTU
5457138,2018-01-03,095B02,Bendigo,Maiden Gully - Marong,E Coli,0,Orgs/100mL
5387581,2017-12-26,090D03,Laanecoorie,Bealiba,Turbidity,0.05,NTU
5847649,2018-11-14,095A03,Bendigo,Bendigo (Northern),Turbidity,0.2,NTU
5847718,2018-11-14,095K09,Bendigo,Junortoun,Turbidity,0.2,NTU
5387614,2017-12-26,095F02,Bendigo,Big Hill,Turbidity,0.1,NTU
5387579,2017-12-26,090C02,Laanecoorie,Tarnagulla,Turbidity,0.1,NTU
5387594,2017-12-26,095A09,Bendigo,Bendigo (Northern),Turbidity,0.2,NTU
5491376,2018-03-27,090C02,Laanecoorie,Tarnagulla,Turbidity,0.1,NTU
5491393,2018-03-28,095H01,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
5890165,2018-12-23,095L02,Bendigo,Bendigo (Axedale),Turbidity,0.2,NTU
5890155,2018-12-23,095J01,Bendigo,Bendigo (Spring Gully),E Coli,0,Orgs/100mL
5690620,2018-07-11,095A18,Bendigo,Bendigo (Northern),Turbidity,0.1,NTU
5605817,2018-06-27,095M04,Bendigo,Bendigo (Sebastian),E Coli,0,Orgs/100mL
5605814,2018-06-27,095H13,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
5605812,2018-06-27,095A17,Bendigo,Bendigo (Northern),E Coli,0,Orgs/100mL
5605839,2018-06-27,095L03,Bendigo,Bendigo (Axedale),E Coli,0,Orgs/100mL
5690613,2018-07-11,095F01,Bendigo,Big Hill,Turbidity,0.2,NTU
5690618,2018-07-11,095M02,Bendigo,Bendigo (Sebastian),Turbidity,0.2,NTU
5690642,2018-07-11,095L01,Bendigo,Bendigo (Axedale),Turbidity,0.1,NTU
5691152,2018-07-24,090C02,Laanecoorie,Tarnagulla,E Coli,0,Orgs/100mL
5691153,2018-07-24,090D02,Laanecoorie,Bealiba,E Coli,0,Orgs/100mL
5690640,2018-07-11,095C09,Bendigo,Strathfieldsaye,Turbidity,0.2,NTU
5890227,2018-12-30,095D08,Bendigo,Epsom - Huntly,E Coli,0,Orgs/100mL
5890164,2018-12-23,095K01,Bendigo,Junortoun,Turbidity,0.2,NTU
5690691,2018-07-15,095D10,Bendigo,Epsom - Huntly,E Coli,0,Orgs/100mL
5889987,2018-12-26,095D06,Bendigo,Epsom - Huntly,Turbidity,0.1,NTU
5385574,2017-11-08,095K04,Bendigo,Junortoun,Turbidity,0.1,NTU
5690641,2018-07-11,095K09,Bendigo,Junortoun,Turbidity,0.2,NTU
5690619,2018-07-11,095N01,Bendigo,Bendigo (Raywood),Turbidity,0.1,NTU
5605835,2018-06-27,095C05,Bendigo,Strathfieldsaye,E Coli,0,Orgs/100mL
5605818,2018-06-27,095N04,Bendigo,Bendigo (Raywood),E Coli,0,Orgs/100mL
5889547,2018-12-12,095J15,Bendigo,Bendigo (Spring Gully),Turbidity,0.4,NTU
5889540,2018-12-12,095A18,Bendigo,Bendigo (Northern),Turbidity,0.3,NTU
5889507,2018-12-11,090D02,Laanecoorie,Bealiba,Turbidity,0.2,NTU
5889554,2018-12-12,095A18,Bendigo,Bendigo (Northern),THMs,0.008,mg/L
5605795,2018-06-26,095B06,Bendigo,Maiden Gully - Marong,Turbidity,0.1,NTU
5605813,2018-06-27,095F01,Bendigo,Big Hill,Turbidity,0.6,NTU
5605837,2018-06-27,095K06,Bendigo,Junortoun,Turbidity,0.2,NTU
5605792,2018-06-26,090B02,Laanecoorie,Dunolly,Turbidity,0.2,NTU
5889579,2018-12-12,095L03,Bendigo,Bendigo (Axedale),Turbidity,0.1,NTU
5581970,2018-06-06,095A21,Bendigo,Bendigo (Northern),E Coli,0,Orgs/100mL
5644794,2018-06-06,095A24,Bendigo,Bendigo (Northern),E Coli,0,Orgs/100mL
5581959,2018-06-07,095B01,Bendigo,Maiden Gully - Marong,Turbidity,0.5,NTU
5581954,2018-06-07,090A04,Laanecoorie,Laanecoorie,Turbidity,0.2,NTU
5581959,2018-06-05,095B01,Bendigo,Maiden Gully - Marong,E Coli,0,Orgs/100mL
5581982,2018-06-06,095H01,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
5581956,2018-06-07,090C02,Laanecoorie,Tarnagulla,Turbidity,0.2,NTU
5581993,2018-06-06,095K03,Bendigo,Junortoun,Turbidity,0.1,NTU
5581957,2018-06-07,090D01,Laanecoorie,Bealiba,Turbidity,0.4,NTU
5581970,2018-06-06,095A21,Bendigo,Bendigo (Northern),Turbidity,0.1,NTU
5581955,2018-06-05,090B07,Laanecoorie,Dunolly,E Coli,0,Orgs/100mL
5581987,2018-06-06,095N02,Bendigo,Bendigo (Raywood),E Coli,0,Orgs/100mL
5581992,2018-06-06,095C01,Bendigo,Strathfieldsaye,E Coli,0,Orgs/100mL
5581954,2018-06-05,090A04,Laanecoorie,Laanecoorie,E Coli,0,Orgs/100mL
5581986,2018-06-06,095M02,Bendigo,Bendigo (Sebastian),E Coli,0,Orgs/100mL
5581984,2018-06-06,095J02,Bendigo,Bendigo (Spring Gully),E Coli,0,Orgs/100mL
5581981,2018-06-06,095F04,Bendigo,Big Hill,Turbidity,0.3,NTU
5581994,2018-06-06,095L03,Bendigo,Bendigo (Axedale),Turbidity,0.2,NTU
5581982,2018-06-06,095H01,Bendigo,Bendigo (Southern),Turbidity,0.2,NTU
5581957,2018-06-05,090D01,Laanecoorie,Bealiba,E Coli,0,Orgs/100mL
5581994,2018-06-06,095L03,Bendigo,Bendigo (Axedale),E Coli,0,Orgs/100mL
5581992,2018-06-06,095C01,Bendigo,Strathfieldsaye,Turbidity,0.3,NTU
5581955,2018-06-07,090B07,Laanecoorie,Dunolly,Turbidity,0.2,NTU
5581987,2018-06-06,095N02,Bendigo,Bendigo (Raywood),Turbidity,0.2,NTU
5582047,2018-06-11,095D02,Bendigo,Epsom - Huntly,E Coli,0,Orgs/100mL
5587103,2018-03-21,095C02,Bendigo,Strathfieldsaye,Turbidity,0.05,NTU
5480816,2018-03-20,090B01,Laanecoorie,Dunolly,Turbidity,0.05,NTU
5585094,2018-03-20,090C04,Laanecoorie,Tarnagulla,Turbidity,0.05,NTU
5889558,2018-12-12,095M01,Bendigo,Bendigo (Sebastian),Turbidity,0.3,NTU
5484312,2018-03-21,095M02,Bendigo,Bendigo (Sebastian),THMs,0.12,mg/L
5847943,2018-11-20,090A02,Laanecoorie,Laanecoorie,Turbidity,0.1,NTU
5587102,2018-03-21,095F02,Bendigo,Big Hill,Turbidity,0.05,NTU
5484312,2018-03-21,095M02,Bendigo,Bendigo (Sebastian),Turbidity,0.05,NTU
5484292,2018-03-21,095A10,Bendigo,Bendigo (Northern),THMs,0.083,mg/L
5848006,2018-11-21,095C08,Bendigo,Strathfieldsaye,Turbidity,0.2,NTU
5847972,2018-11-21,095F02,Bendigo,Big Hill,Turbidity,0.1,NTU
5847955,2018-11-20,090D03,Laanecoorie,Bealiba,Turbidity,0.3,NTU
5387578,2017-12-26,090B06,Laanecoorie,Dunolly,E Coli,0,Orgs/100mL
5387568,2017-12-26,090A01,Laanecoorie,Laanecoorie,E Coli,0,Orgs/100mL
5019393,2017-01-18,095H16,Bendigo,Bendigo (Southern),Turbidity,0.2,NTU
5019396,2017-01-18,095J02,Bendigo,Bendigo (Spring Gully),E Coli,0,Orgs/100mL
5019356,2017-01-17,095B05,Bendigo,Maiden Gully - Marong,Turbidity,0.2,NTU
5019412,2017-01-18,095C03,Bendigo,Strathfieldsaye,E Coli,0,Orgs/100mL
5019412,2017-01-18,095C03,Bendigo,Strathfieldsaye,Turbidity,0.2,NTU
5019384,2017-01-18,095F03,Bendigo,Big Hill,Turbidity,0.2,NTU
5385575,2017-11-08,095L04,Bendigo,Bendigo (Axedale),Turbidity,0.1,NTU
5385533,2017-11-07,095B03,Bendigo,Maiden Gully - Marong,Turbidity,0.2,NTU
5735000,2018-08-14,095B04,Bendigo,Maiden Gully - Marong,Turbidity,0.1,NTU
5735024,2018-08-15,095A21,Bendigo,Bendigo (Northern),Turbidity,0.3,NTU
5735026,2018-08-15,095F02,Bendigo,Big Hill,Turbidity,0.2,NTU
5735012,2018-08-14,090C04,Laanecoorie,Tarnagulla,THMs,0.05,mg/L
5734989,2018-08-14,090A01,Laanecoorie,Laanecoorie,Turbidity,0.5,NTU
5735036,2018-08-15,095N01,Bendigo,Bendigo (Raywood),Turbidity,0.1,NTU
5734999,2018-08-14,090D01,Laanecoorie,Bealiba,Turbidity,0.1,NTU
5735041,2018-08-15,095M02,Bendigo,Bendigo (Sebastian),THMs,0.028,mg/L
5735207,2018-08-21,090C03,Laanecoorie,Tarnagulla,E Coli,0,Orgs/100mL
5735206,2018-08-21,090B09,Laanecoorie,Dunolly,E Coli,0,Orgs/100mL
5735054,2018-08-15,095L01,Bendigo,Bendigo (Axedale),Turbidity,0.3,NTU
5735033,2018-08-15,095M02,Bendigo,Bendigo (Sebastian),Turbidity,0.1,NTU
5734998,2018-08-14,090C04,Laanecoorie,Tarnagulla,Turbidity,0.1,NTU
5890126,2018-12-26,095B09,Bendigo,Maiden Gully - Marong,E Coli,0,Orgs/100mL
5890124,2018-12-26,090C03,Laanecoorie,Tarnagulla,E Coli,0,Orgs/100mL
5735205,2018-08-21,090A04,Laanecoorie,Laanecoorie,E Coli,0,Orgs/100mL
5735208,2018-08-21,090D07,Laanecoorie,Bealiba,E Coli,0,Orgs/100mL
5889489,2018-12-11,090A04,Laanecoorie,Laanecoorie,Turbidity,0.2,NTU
5889656,2018-12-16,095D10,Bendigo,Epsom - Huntly,E Coli,0,Orgs/100mL
5889559,2018-12-12,095N03,Bendigo,Bendigo (Raywood),Turbidity,0.1,NTU
5889544,2018-12-12,095H06,Bendigo,Bendigo (Southern),Turbidity,0.3,NTU
5889490,2018-12-11,090B07,Laanecoorie,Dunolly,Turbidity,0.1,NTU
5889541,2018-12-12,095F04,Bendigo,Big Hill,Turbidity,0.2,NTU
5889570,2018-12-12,095K03,Bendigo,Junortoun,Turbidity,0.2,NTU
5889506,2018-12-11,090C01,Laanecoorie,Tarnagulla,Turbidity,0.1,NTU
5798045,2018-10-03,095L04,Bendigo,Bendigo (Axedale),THMs,0.061,mg/L
5797995,2018-10-02,090B05,Laanecoorie,Dunolly,THMs,0.064,mg/L
5797981,2018-10-02,090B05,Laanecoorie,Dunolly,Turbidity,0.2,NTU
5798016,2018-10-03,095M01,Bendigo,Bendigo (Sebastian),Turbidity,0.2,NTU
5798008,2018-10-03,095A15,Bendigo,Bendigo (Northern),Turbidity,0.2,NTU
5581981,2018-06-06,095F04,Bendigo,Big Hill,E Coli,0,Orgs/100mL
5581984,2018-06-06,095J02,Bendigo,Bendigo (Spring Gully),Turbidity,0.1,NTU
5198969,2017-06-20,090B06,Laanecoorie,Dunolly,E Coli,0,Orgs/100mL
5798595,2018-10-17,095M05,Bendigo,Bendigo (Sebastian),Turbidity,0.2,NTU
5798592,2018-10-17,095H20,Bendigo,Bendigo (Southern),Turbidity,0.1,NTU
5798564,2018-10-16,095B04,Bendigo,Maiden Gully - Marong,Turbidity,0.2,NTU
5798613,2018-10-17,095C06,Bendigo,Strathfieldsaye,Turbidity,0.2,NTU
5798594,2018-10-17,095J01,Bendigo,Bendigo (Spring Gully),Turbidity,0.3,NTU
5798896,2018-10-23,095B09,Bendigo,Maiden Gully - Marong,E Coli,0,Orgs/100mL
5798396,2018-10-14,095D08,Bendigo,Epsom - Huntly,THMs,0.011,mg/L
5491376,2018-03-27,090C02,Laanecoorie,Tarnagulla,THMs,0.11,mg/L
5735236,2018-08-22,095M03,Bendigo,Bendigo (Sebastian),E Coli,0,Orgs/100mL
5735209,2018-08-21,095B09,Bendigo,Maiden Gully - Marong,E Coli,0,Orgs/100mL
5735233,2018-08-22,095H03,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
5735054,2018-08-15,095L01,Bendigo,Bendigo (Axedale),E Coli,0,Orgs/100mL
5735232,2018-08-22,095F01,Bendigo,Big Hill,E Coli,0,Orgs/100mL
5039740,2017-02-07,090C03,Laanecoorie,Tarnagulla,THMs,0.18,mg/L
5039790,2017-02-08,095J12,Bendigo,Bendigo (Spring Gully),THMs,0.006,mg/L
5093733,2017-03-29,095H18,Bendigo,Bendigo (Southern),Turbidity,0.2,NTU
5093733,2017-03-29,095H18,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
5093744,2017-03-29,095K08,Bendigo,Junortoun,E Coli,0,Orgs/100mL
5093743,2017-03-29,095C06,Bendigo,Strathfieldsaye,E Coli,0,Orgs/100mL
5039757,2017-02-08,095A07,Bendigo,Bendigo (Northern),E Coli,0,Orgs/100mL
5039759,2017-02-08,095F02,Bendigo,Big Hill,E Coli,0,Orgs/100mL
5039890,2017-02-12,095D06,Bendigo,Epsom - Huntly,E Coli,0,Orgs/100mL
5093717,2017-03-29,095A02,Bendigo,Bendigo (Northern),Turbidity,0.2,NTU
5093731,2017-03-29,095F01,Bendigo,Big Hill,Turbidity,0.2,NTU
5093731,2017-03-29,095F01,Bendigo,Big Hill,E Coli,0,Orgs/100mL
5039810,2017-02-08,095C05,Bendigo,Strathfieldsaye,THMs,0.006,mg/L
5093734,2017-03-29,095J01,Bendigo,Bendigo (Spring Gully),E Coli,0,Orgs/100mL
5093745,2017-03-29,095L02,Bendigo,Bendigo (Axedale),Turbidity,0.2,NTU
5093732,2017-03-29,095H12,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
5039791,2017-02-08,095M04,Bendigo,Bendigo (Sebastian),THMs,0.034,mg/L
5093735,2017-03-29,095M03,Bendigo,Bendigo (Sebastian),E Coli,0,Orgs/100mL
5093735,2017-03-29,095M03,Bendigo,Bendigo (Sebastian),Turbidity,0.1,NTU
5093745,2017-03-29,095L02,Bendigo,Bendigo (Axedale),E Coli,0,Orgs/100mL
5093717,2017-03-29,095A02,Bendigo,Bendigo (Northern),E Coli,0,Orgs/100mL
5199017,2017-06-21,095K07,Bendigo,Junortoun,E Coli,0,Orgs/100mL
5173275,2017-05-21,095D02,Bendigo,Epsom - Huntly,Turbidity,0.2,NTU
5173164,2017-05-16,090C03,Laanecoorie,Tarnagulla,Turbidity,0.2,NTU
5173191,2017-05-17,095J04,Bendigo,Bendigo (Spring Gully),Turbidity,0.1,NTU
5173188,2017-05-17,095H09,Bendigo,Bendigo (Southern),Turbidity,0.1,NTU
5173209,2017-05-17,095K02,Bendigo,Junortoun,Turbidity,0.1,NTU
5173210,2017-05-17,095L03,Bendigo,Bendigo (Axedale),Turbidity,0.1,NTU
5491401,2018-03-28,095C03,Bendigo,Strathfieldsaye,E Coli,0,Orgs/100mL
5491396,2018-03-28,095J11,Bendigo,Bendigo (Spring Gully),E Coli,0,Orgs/100mL
5491395,2018-03-28,095H06,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
5798555,2018-10-16,090D08,Laanecoorie,Bealiba,Turbidity,0.2,NTU
5798553,2018-10-16,090B03,Laanecoorie,Dunolly,Turbidity,0.2,NTU
5798552,2018-10-16,090A02,Laanecoorie,Laanecoorie,Turbidity,0.2,NTU
5798622,2018-10-17,095K08,Bendigo,Junortoun,Turbidity,0.2,NTU
5387353,2017-12-20,095C05,Bendigo,Strathfieldsaye,Turbidity,0.1,NTU
5387332,2017-12-21,095H11,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
5387337,2017-12-21,095N04,Bendigo,Bendigo (Raywood),E Coli,0,Orgs/100mL
5387330,2017-12-21,095A16,Bendigo,Bendigo (Northern),E Coli,0,Orgs/100mL
5387331,2017-12-21,095F04,Bendigo,Big Hill,E Coli,0,Orgs/100mL
5387331,2017-12-21,095F04,Bendigo,Big Hill,Turbidity,0.3,NTU
5387335,2017-12-21,095J05,Bendigo,Bendigo (Spring Gully),E Coli,0,Orgs/100mL
5387335,2017-12-21,095J05,Bendigo,Bendigo (Spring Gully),Turbidity,0.2,NTU
5387334,2017-12-21,095H18,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
5387332,2017-12-21,095H11,Bendigo,Bendigo (Southern),Turbidity,0.2,NTU
5387355,2017-12-20,095L04,Bendigo,Bendigo (Axedale),Turbidity,0.1,NTU
5457640,2018-01-16,090C04,Laanecoorie,Tarnagulla,E Coli,0,Orgs/100mL
5387354,2017-12-20,095K06,Bendigo,Junortoun,Turbidity,0.2,NTU
5735237,2018-08-22,095N02,Bendigo,Bendigo (Raywood),E Coli,0,Orgs/100mL
5735026,2018-08-15,095F02,Bendigo,Big Hill,E Coli,0,Orgs/100mL
5735033,2018-08-15,095M02,Bendigo,Bendigo (Sebastian),E Coli,0,Orgs/100mL
5690912,2018-07-18,095J05,Bendigo,Bendigo (Spring Gully),Turbidity,0.2,NTU
5690914,2018-07-18,095N02,Bendigo,Bendigo (Raywood),Turbidity,0.1,NTU
5457127,2018-01-03,090C03,Laanecoorie,Tarnagulla,E Coli,0,Orgs/100mL
5457153,2018-01-04,095H24,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
5387578,2017-12-26,090B06,Laanecoorie,Dunolly,Turbidity,0.1,NTU
5387648,2017-12-27,095L03,Bendigo,Bendigo (Axedale),E Coli,0,Orgs/100mL
5690905,2018-07-18,095H07,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
5387329,2017-12-21,095A15,Bendigo,Bendigo (Northern),E Coli,0,Orgs/100mL
5387329,2017-12-21,095A15,Bendigo,Bendigo (Northern),Turbidity,0.2,NTU
5387428,2017-12-26,095D09,Bendigo,Epsom - Huntly,E Coli,0,Orgs/100mL
5387337,2017-12-21,095N04,Bendigo,Bendigo (Raywood),Turbidity,0.2,NTU
5734839,2018-08-12,095D09,Bendigo,Epsom - Huntly,Turbidity,0.2,NTU
5691009,2018-07-22,095D06,Bendigo,Epsom - Huntly,E Coli,0,Orgs/100mL
5387619,2017-12-26,095J06,Bendigo,Bendigo (Spring Gully),E Coli,0,Orgs/100mL
5387579,2017-12-26,090C02,Laanecoorie,Tarnagulla,E Coli,0,Orgs/100mL
5387593,2017-12-26,095A05,Bendigo,Bendigo (Northern),E Coli,0,Orgs/100mL
5387582,2017-12-26,095B06,Bendigo,Maiden Gully - Marong,E Coli,0,Orgs/100mL
5387614,2017-12-26,095F02,Bendigo,Big Hill,E Coli,0,Orgs/100mL
5387636,2017-12-27,095C07,Bendigo,Strathfieldsaye,E Coli,0,Orgs/100mL
5387616,2017-12-26,095H19,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
5387333,2017-12-21,095H12,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
5387594,2017-12-26,095A09,Bendigo,Bendigo (Northern),E Coli,0,Orgs/100mL
5039197,2017-02-01,095K06,Bendigo,Junortoun,Turbidity,0.3,NTU
5039160,2017-02-01,095H19,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
5039163,2017-02-01,095M01,Bendigo,Bendigo (Sebastian),E Coli,0,Orgs/100mL
5039197,2017-02-01,095K06,Bendigo,Junortoun,E Coli,0,Orgs/100mL
5039163,2017-02-01,095M01,Bendigo,Bendigo (Sebastian),Turbidity,0.2,NTU
5039200,2017-02-01,095L01,Bendigo,Bendigo (Axedale),E Coli,0,Orgs/100mL
5039157,2017-02-01,095A03,Bendigo,Bendigo (Northern),Turbidity,0.2,NTU
5039158,2017-02-01,095A06,Bendigo,Bendigo (Northern),E Coli,0,Orgs/100mL
5039160,2017-02-01,095H19,Bendigo,Bendigo (Southern),Turbidity,0.3,NTU
5457639,2018-01-16,090B01,Laanecoorie,Dunolly,E Coli,0,Orgs/100mL
5039789,2017-02-08,095H10,Bendigo,Bendigo (Southern),THMs,0.008,mg/L
5132428,2017-04-20,095A07,Bendigo,Bendigo (Northern),E Coli,0,Orgs/100mL
5132170,2017-04-12,095C05,Bendigo,Strathfieldsaye,THMs,0.004,mg/L
5093734,2017-03-29,095J01,Bendigo,Bendigo (Spring Gully),Turbidity,0.2,NTU
5093743,2017-03-29,095C06,Bendigo,Strathfieldsaye,Turbidity,0.2,NTU
5093718,2017-03-29,095A17,Bendigo,Bendigo (Northern),E Coli,0,Orgs/100mL
5040035,2017-02-14,090B07,Laanecoorie,Dunolly,E Coli,0,Orgs/100mL
5019051,2017-01-11,095A20,Bendigo,Bendigo (Northern),E Coli,0,Orgs/100mL
5173031,2017-05-15,095D09,Bendigo,Epsom - Huntly,Turbidity,0.2,NTU
5019077,2017-01-11,095C01,Bendigo,Strathfieldsaye,E Coli,0,Orgs/100mL
5174338,2017-05-16,090D01,Laanecoorie,Bealiba,Turbidity,0.1,NTU
5040038,2017-02-14,095B04,Bendigo,Maiden Gully - Marong,E Coli,0,Orgs/100mL
5040037,2017-02-14,090D02,Laanecoorie,Bealiba,E Coli,0,Orgs/100mL
5039890,2017-02-12,095D06,Bendigo,Epsom - Huntly,Turbidity,0.2,NTU
5040077,2017-02-15,095N04,Bendigo,Bendigo (Raywood),E Coli,0,Orgs/100mL
5040063,2017-02-15,095F03,Bendigo,Big Hill,E Coli,0,Orgs/100mL
5040085,2017-02-15,095C07,Bendigo,Strathfieldsaye,E Coli,0,Orgs/100mL
5040064,2017-02-15,095H01,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
5040038,2017-02-14,095B04,Bendigo,Maiden Gully - Marong,Turbidity,0.2,NTU
5040035,2017-02-14,090B07,Laanecoorie,Dunolly,Turbidity,0.2,NTU
5890153,2018-12-26,095H03,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
5890164,2018-12-23,095K01,Bendigo,Junortoun,E Coli,0,Orgs/100mL
